pitch_type,release_speed,player_name,pitcher,p_throws,balls,strikes,inning,inning_topbot,launch_angle,launch_speed,effective_speed,iso_value,woba_value,estimated_woba_using_speedangle,estimated_ba_using_speedangle,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,events,n_priorpa_thisgame_player_at_bat,zone
FF,90.0,"Vargas, Miguel",641778,L,3,2,1,Bot,14.0,101.3,89.0,2.0,1.6,0.811,0.809,1.074,-0.85,101.3,triple,0,8
FC,86.4,"Vargas, Miguel",641778,L,3,1,1,Bot,,,85.7,,,,,,0.068,,,0,6
CH,82.4,"Vargas, Miguel",641778,L,2,1,1,Bot,,,81.7,,,,,,-0.047,,,0,13
CH,82.2,"Vargas, Miguel",641778,L,2,0,1,Bot,,,81.3,,,,,,0.048,,,0,2
FC,85.0,"Vargas, Miguel",641778,L,1,0,1,Bot,,,84.2,,,,,,-0.024,,,0,12
FF,89.1,"Vargas, Miguel",641778,L,0,0,1,Bot,,,88.0,,,,,,-0.028,,,0,12
FF,89.0,"Murakami, Munetaka",641778,L,3,2,1,Bot,-6.0,92.0,88.0,0.0,0.0,0.153,0.169,0.198,0.279,92.0,field_out,0,2
FF,89.5,"Murakami, Munetaka",641778,L,3,2,1,Bot,56.0,72.5,88.8,,,,,,0.0,88.0,,0,9
FC,84.2,"Murakami, Munetaka",641778,L,3,1,1,Bot,,,84.0,,,,,,0.068,,,0,7
FF,88.4,"Murakami, Munetaka",641778,L,3,0,1,Bot,,,87.3,,,,,,0.054,,,0,6
FF,88.5,"Murakami, Munetaka",641778,L,2,0,1,Bot,,,87.7,,,,,,-0.067,,,0,13
SL,80.3,"Murakami, Munetaka",641778,L,1,0,1,Bot,,,79.7,,,,,,-0.046,,,0,13
SL,81.0,"Murakami, Munetaka",641778,L,0,0,1,Bot,,,80.1,,,,,,-0.028,,,0,13
FF,87.9,"Hays, Austin",641778,L,1,0,1,Bot,-12.0,91.2,87.0,0.0,0.0,0.162,0.165,0.2,0.257,91.2,field_out,0,5
SL,83.1,"Hays, Austin",641778,L,0,0,1,Bot,,,82.0,,,,,,-0.032,,,0,12
CU,72.0,"Meidroth, Chase",641778,L,1,2,1,Bot,-5.0,86.1,71.1,1.0,1.25,0.163,0.173,0.192,-0.786,88.0,double,0,8
FC,83.3,"Meidroth, Chase",641778,L,1,1,1,Bot,82.0,71.2,82.1,,,,,,0.061,88.0,,0,1
FC,83.8,"Meidroth, Chase",641778,L,0,1,1,Bot,,,82.9,,,,,,-0.031,,,0,12
FF,86.6,"Meidroth, Chase",641778,L,0,0,1,Bot,,,85.2,,,,,,0.039,,,0,3
SI,94.1,"Barger, Addison",663436,R,3,1,1,Top,-34.0,76.5,94.0,0.0,0.0,0.048,0.052,0.053,0.389,88.0,field_out,0,13
CU,82.2,"Barger, Addison",663436,R,2,1,1,Top,,,81.8,,,,,,-0.079,,,0,8
FF,94.8,"Barger, Addison",663436,R,2,0,1,Top,13.0,116.4,94.7,,,,,,0.044,116.4,,0,6
FC,91.2,"Barger, Addison",663436,R,1,0,1,Top,,,91.3,,,,,,-0.048,,,0,14
FC,91.6,"Barger, Addison",663436,R,0,0,1,Top,,,91.9,,,,,,-0.035,,,0,13
CH,91.3,"Guerrero Jr., Vladimir",663436,R,2,2,1,Top,10.0,103.3,91.3,0.0,0.9,0.812,0.849,1.018,-0.362,103.3,single,0,8
FF,96.2,"Guerrero Jr., Vladimir",663436,R,2,2,1,Top,-38.0,88.8,96.3,,,,,,0.0,88.8,,0,5
SI,94.0,"Guerrero Jr., Vladimir",663436,R,2,1,1,Top,,,93.8,,,,,,0.073,,,0,8
SL,88.1,"Guerrero Jr., Vladimir",663436,R,1,1,1,Top,,,88.7,,,,,,-0.053,,,0,8
SI,93.3,"Guerrero Jr., Vladimir",663436,R,1,0,1,Top,,,93.1,,,,,,0.054,,,0,8
SL,87.6,"Guerrero Jr., Vladimir",663436,R,0,0,1,Top,,,87.7,,,,,,-0.037,,,0,14
FF,95.9,"Lukes, Nathan",663436,R,2,2,1,Top,,,95.7,0.0,0.0,0.0,,,0.228,,strikeout,0,5
FF,95.8,"Lukes, Nathan",663436,R,1,2,1,Top,,,95.8,,,,,,-0.048,,,0,11
CU,83.1,"Lukes, Nathan",663436,R,1,2,1,Top,25.0,39.3,82.4,,,,,,0.0,88.0,,0,14
FC,90.7,"Lukes, Nathan",663436,R,1,1,1,Top,55.0,68.1,90.8,,,,,,0.064,88.0,,0,5
FC,89.4,"Lukes, Nathan",663436,R,0,1,1,Top,,,89.3,,,,,,-0.029,,,0,11
FF,94.2,"Lukes, Nathan",663436,R,0,0,1,Top,,,94.5,,,,,,0.039,,,0,5
FF,95.1,"Springer, George",663436,R,1,2,1,Top,-23.0,87.8,95.4,0.0,0.0,0.073,0.073,0.088,0.189,88.0,field_out,0,2
CH,90.9,"Springer, George",663436,R,1,2,1,Top,88.0,74.2,90.3,,,,,,0.0,88.0,,0,4
SL,88.4,"Springer, George",663436,R,0,2,1,Top,,,88.0,,,,,,-0.024,,,0,14
SL,86.3,"Springer, George",663436,R,0,1,1,Top,,,85.7,,,,,,0.055,,,0,5
SI,93.5,"Springer, George",663436,R,0,0,1,Top,-38.0,,93.2,,,,,,0.039,,,0,4
